Time (s),Value 1,Value 2,Value 3,Value 4
14.518832683563232,2.50,10.45,15.00,57.85
14.534395694732666,2.50,10.45,15.00,57.85
14.55099868774414,2.50,10.45,15.00,57.85
14.568641424179077,2.50,10.45,15.00,57.85
14.580642700195312,2.50,10.45,15.00,58.30
14.597641468048096,2.50,10.45,15.00,58.30
14.610642194747925,2.50,10.45,15.00,58.30
14.625640153884888,2.50,10.45,15.00,58.30
14.641372203826904,1.64,9.53,15.00,58.30
14.65665602684021,1.64,9.53,15.00,58.30
14.671663045883179,1.64,9.53,15.00,58.30
14.687664031982422,1.64,9.53,15.00,58.30
14.703664541244507,1.64,9.53,15.00,58.30
14.718663454055786,1.64,9.53,15.00,63.46
14.734663486480713,1.64,9.53,15.00,63.46
14.750662326812744,1.64,9.53,15.00,63.46
14.765665531158447,1.64,9.53,15.00,63.46
14.781665802001953,1.64,9.53,15.00,63.46
14.795665264129639,1.64,9.53,15.00,63.46
14.811664342880249,1.64,9.53,15.00,63.46
14.827662944793701,1.64,9.53,15.00,63.46
14.844666481018066,1.64,9.53,15.00,63.46
14.858665466308594,1.64,9.53,15.00,64.01
14.874663352966309,1.64,9.53,15.00,64.01
14.889662265777588,1.64,9.53,15.00,64.01
14.905665636062622,1.64,9.53,15.00,64.01
14.921666145324707,1.64,9.53,15.00,64.01
14.93766736984253,1.64,9.53,15.00,64.01
14.95366644859314,1.64,9.53,15.00,64.01
14.96966552734375,1.64,9.53,15.00,64.01
14.986664295196533,1.64,9.53,15.00,64.01
15.000663042068481,1.64,9.53,15.00,64.56
15.015662670135498,1.64,9.53,15.00,64.56
15.031665802001953,1.64,9.53,15.00,64.56
15.04666543006897,1.64,9.53,15.00,64.56
15.062664985656738,1.64,9.53,15.00,64.56
15.084664583206177,2.55,10.52,15.00,64.56
15.109664678573608,2.55,10.52,15.00,64.56
15.124665260314941,2.55,10.52,15.00,64.56
15.140664339065552,2.55,10.52,15.00,64.56
15.15566372871399,2.55,10.52,15.00,60.08
15.172665119171143,2.55,10.52,15.00,60.08
15.187665462493896,1.79,9.70,15.00,60.08
15.202663898468018,1.79,9.70,15.00,60.08
15.218664407730103,1.79,9.70,15.00,60.08
15.234666347503662,1.79,9.70,15.00,60.08
15.249665975570679,1.79,9.70,15.00,60.08
15.263663530349731,1.79,9.70,15.00,60.08
15.279663324356079,1.79,9.70,15.00,60.08
15.295666933059692,1.79,9.70,15.00,64.70
15.312665700912476,2.60,10.57,15.00,64.70
15.32766580581665,2.60,10.57,15.00,64.70
15.34166407585144,2.60,10.57,15.00,64.70
15.356664657592773,2.60,10.57,15.00,64.70
15.372665643692017,2.60,10.57,15.00,64.70
15.390665531158447,2.60,10.57,15.00,64.70
15.403663635253906,2.60,10.57,15.00,64.70
